,Meat_KSA_Wholesale_Protein_4001320201,Meat_KSA_Retail_Protein_4001370861,Meat_KSA_Wholesale_Protein_4001370861,Meat_KSA_Retail_Protein_4001320201,Meat_KSA_Food Services_Protein_4001370813,Meat_KSA_Retail_Protein_4001350114,Meat_KSA_Retail_Protein_4001370124,Meat_KSA_Food Services_Protein_4001370815,Meat_KSA_Wholesale_Protein_4001350114,Meat_KSA_Wholesale_Protein_4001370845,Meat_KSA_Food Services_Protein_4001370861,Meat_KSA_Retail_Protein_4001370872,Meat_KSA_Retail_Protein_4001370145,Meat_KSA_Retail_Protein_4001340501,Meat_KSA_Retail_Protein_4001350111,Meat_KSA_Wholesale_Protein_4001320101,Meat_KSA_Food Services_Protein_4001370845,Meat_KSA_Retail_Protein_4001370144,Meat_KSA_Retail_Protein_4001370859,Meat_KSA_Food Services_Protein_4001370816,Date
25,217.834,91.591,68.0,48.7896,65.91802,50.781693888,70.3326589056,53.37,58.94444544,84.057,23.949,27.681,46.97525952,35.0352,47.57823864,50.7184,60.605,31.386942,25.0,51.37520000000001,2022-02-28
26,864.2524,98.737,106.589,359.3764,85.8758,51.7136532,72.96484890239999,81.66,46.821400272,76.0,27.863,58.341,33.179328,155.9108,47.832898368,116.5276,63.842,50.592855,66.134,5.635,2022-03-31
27,268.28000000000003,88.57,121.01,126.23,64.56,46.21,46.11,59.21,58.77,75.38,15.09,36.91,23.82,75.81,23.22,85.91,43.31,32.59,14.23,38.68,2022-04-30
28,92.4452,108.56,217.444,27.536,90.3174,36.03624912,42.0935635008,65.199,51.47260272,61.694,29.131,15.926,30.42816,27.4788,26.376517824,10.9276,60.969,31.761858,4.226,68.89692,2022-05-31
29,83.2712,145.672,224.436,32.345600000000005,102.617,54.88618776,53.5205313216,77.6,50.061260544,70.03,58.89,1.1,30.289728000000004,16.276,30.247758912,28.384,32.812,31.570563,0.738,84.61466,2022-06-30
30,109.2724,82.57845,111.982,22.378516,83.9154,41.096389968,53.213244537600005,78.6,52.41168,80.868,41.953,-0.113,27.4520064,6.1696,39.380977632,19.62952,61.673,32.7963075,1.9617,71.33,2022-07-31
31,194.47568904247288,209.1430264626779,97.25700605331294,40.50707111751593,108.34348120520347,64.75953362066443,45.30120227581881,88.81472040493425,62.14402852297888,86.52552886005213,57.15538480069198,23.72442286371858,45.0364841152904,14.27299309007099,51.3550292421165,30.868412790872497,66.32845866709403,37.458428454546194,0.1690456859778613,47.76623408321467,2022-08-31
32,128.02381457801948,268.67224675268795,81.80826801691998,27.63002557679761,83.63570048418485,46.68705498660861,71.32758018743974,77.33028598455151,38.14913174784839,80.58737077641533,30.48166649707348,10.496862752251984,25.286270734016945,15.314413199091362,40.01750701834116,28.18458604624086,60.44460453386577,53.17762288358661,6.336843941116781,53.989543497675086,2022-09-30
33,152.8536,426.0337,184.051,39.0132,99.909,77.29610510399999,32.8028835456,59.119,52.754058912,76.222,47.977,81.4712,28.5130944,14.742968,44.356602096,29.354,64.431,45.4957725,7.32957,71.995,2022-10-31
34,171.4412,203.6157,77.998,45.2292,76.9284,82.159099536,63.3961992384,58.9,58.285530336,81.1197,24.945,10.88775,33.3610368,18.4492444,47.711914128,42.2936,61.228,37.4858385,4.3304,57.141,2022-11-30
35,172.71880000000002,481.05468,77.87,38.5633512,89.76,42.513650592,41.743138752,45.52,48.086539728,97.3932,67.247,14.43968,21.71069376,14.764396,29.377126896,42.8544,65.065,43.5447285,3.0166,47.2,2022-12-31
36,202.5976,416.5846,139.062,90.55856,91.3716,58.947875088,60.362647025,40.19,69.70748544,94.9032,59.789,58.43784,43.721262144,45.599052,42.352616256000005,46.5168,71.355,27.50840085,9.12078,30.5,2023-01-31
37,518.1536,307.09422,124.251,164.63888,84.08879999999999,75.865550208,60.754032459,31.465,41.754045168,92.331,92.99,28.1744,20.13080832,58.559920000000005,54.871202736,42.83688,67.926,52.0570155,33.6319,24.64,2023-02-28
38,672.7372,439.9663,182.247,315.89248,65.127,76.735071322,46.817068429,17.18,59.437779456,101.704,81.346,19.19023,24.33677568,111.71632,26.856369888,110.5372,59.016,29.75811,72.2213,17.55,2023-03-31
